"response_id","user_id","survey_type","question_id","response","response_date"
"2139","7534d744-a4f9-4794-b9d0-3ce6cfc11696","exit","Q1","4","2024-04-10 09:28:58.269+00"
"2140","7534d744-a4f9-4794-b9d0-3ce6cfc11696","exit","Q2","2","2024-04-10 09:28:58.269+00"
"2141","7534d744-a4f9-4794-b9d0-3ce6cfc11696","exit","Q3","4","2024-04-10 09:28:58.269+00"
"2142","7534d744-a4f9-4794-b9d0-3ce6cfc11696","exit","Q4","2","2024-04-10 09:28:58.269+00"
"2143","7534d744-a4f9-4794-b9d0-3ce6cfc11696","exit","Q5","5","2024-04-10 09:28:58.269+00"
"2144","7534d744-a4f9-4794-b9d0-3ce6cfc11696","exit","Q6","1","2024-04-10 09:28:58.269+00"
"2145","7534d744-a4f9-4794-b9d0-3ce6cfc11696","exit","Q7","4","2024-04-10 09:28:58.269+00"
"2146","7534d744-a4f9-4794-b9d0-3ce6cfc11696","exit","Q8","4","2024-04-10 09:28:58.269+00"
"2147","7534d744-a4f9-4794-b9d0-3ce6cfc11696","exit","Q9","4","2024-04-10 09:28:58.269+00"
"2148","7534d744-a4f9-4794-b9d0-3ce6cfc11696","exit","Q10","4","2024-04-10 09:28:58.269+00"
"2149","7534d744-a4f9-4794-b9d0-3ce6cfc11696","exit","Q11","4","2024-04-10 09:28:58.269+00"
"2150","7534d744-a4f9-4794-b9d0-3ce6cfc11696","exit","Q12","5","2024-04-10 09:28:58.269+00"
"2151","7534d744-a4f9-4794-b9d0-3ce6cfc11696","exit","Q13","4","2024-04-10 09:28:58.269+00"
"2152","7534d744-a4f9-4794-b9d0-3ce6cfc11696","exit","Q14","4","2024-04-10 09:28:58.269+00"
"2153","7534d744-a4f9-4794-b9d0-3ce6cfc11696","exit","Q15","4","2024-04-10 09:28:58.269+00"
"2154","7534d744-a4f9-4794-b9d0-3ce6cfc11696","exit","Q16","4","2024-04-10 09:28:58.269+00"
"2155","7534d744-a4f9-4794-b9d0-3ce6cfc11696","exit","Q17","5","2024-04-10 09:28:58.269+00"
"2156","7534d744-a4f9-4794-b9d0-3ce6cfc11696","exit","Q18","4","2024-04-10 09:28:58.269+00"
"2157","7534d744-a4f9-4794-b9d0-3ce6cfc11696","exit","Q19","5","2024-04-10 09:28:58.269+00"
"2158","7534d744-a4f9-4794-b9d0-3ce6cfc11696","exit","Q20","5","2024-04-10 09:28:58.269+00"
"2159","7534d744-a4f9-4794-b9d0-3ce6cfc11696","exit","A1","1","2024-04-10 09:28:58.269+00"
"2160","6e191edd-f76e-4cf1-8f33-a2deccdc3077","exit","Q1","2","2024-04-11 10:57:03.992+00"
"2161","6e191edd-f76e-4cf1-8f33-a2deccdc3077","exit","Q2","2","2024-04-11 10:57:03.992+00"
"2162","6e191edd-f76e-4cf1-8f33-a2deccdc3077","exit","Q3","4","2024-04-11 10:57:03.992+00"
"2163","6e191edd-f76e-4cf1-8f33-a2deccdc3077","exit","Q4","2","2024-04-11 10:57:03.992+00"
"2164","6e191edd-f76e-4cf1-8f33-a2deccdc3077","exit","Q5","4","2024-04-11 10:57:03.992+00"
"2165","6e191edd-f76e-4cf1-8f33-a2deccdc3077","exit","Q6","3","2024-04-11 10:57:03.992+00"
"2166","6e191edd-f76e-4cf1-8f33-a2deccdc3077","exit","Q7","3","2024-04-11 10:57:03.992+00"
"2167","6e191edd-f76e-4cf1-8f33-a2deccdc3077","exit","Q8","2","2024-04-11 10:57:03.992+00"
"2168","6e191edd-f76e-4cf1-8f33-a2deccdc3077","exit","Q9","3","2024-04-11 10:57:03.992+00"
"2169","6e191edd-f76e-4cf1-8f33-a2deccdc3077","exit","Q10","1","2024-04-11 10:57:03.992+00"
"2170","6e191edd-f76e-4cf1-8f33-a2deccdc3077","exit","Q11","3","2024-04-11 10:57:03.992+00"
"2171","6e191edd-f76e-4cf1-8f33-a2deccdc3077","exit","Q12","4","2024-04-11 10:57:03.992+00"
"2172","6e191edd-f76e-4cf1-8f33-a2deccdc3077","exit","Q13","3","2024-04-11 10:57:03.992+00"
"2173","6e191edd-f76e-4cf1-8f33-a2deccdc3077","exit","Q14","4","2024-04-11 10:57:03.992+00"
"2174","6e191edd-f76e-4cf1-8f33-a2deccdc3077","exit","Q15","4","2024-04-11 10:57:03.992+00"
"2175","6e191edd-f76e-4cf1-8f33-a2deccdc3077","exit","Q16","4","2024-04-11 10:57:03.992+00"
"2176","6e191edd-f76e-4cf1-8f33-a2deccdc3077","exit","Q17","4","2024-04-11 10:57:03.992+00"
"2177","6e191edd-f76e-4cf1-8f33-a2deccdc3077","exit","Q18","4","2024-04-11 10:57:03.992+00"
"2178","6e191edd-f76e-4cf1-8f33-a2deccdc3077","exit","Q19","4","2024-04-11 10:57:03.992+00"
"2179","6e191edd-f76e-4cf1-8f33-a2deccdc3077","exit","Q20","4","2024-04-11 10:57:03.992+00"
"2180","6e191edd-f76e-4cf1-8f33-a2deccdc3077","exit","A1","0","2024-04-11 10:57:03.992+00"
"2181","fec047b6-9c06-438f-90f8-f35a20f0720c","exit","Q1","4","2024-04-15 06:46:49.443+00"
"2182","fec047b6-9c06-438f-90f8-f35a20f0720c","exit","Q2","3","2024-04-15 06:46:49.443+00"
"2183","fec047b6-9c06-438f-90f8-f35a20f0720c","exit","Q3","3","2024-04-15 06:46:49.443+00"
"2184","fec047b6-9c06-438f-90f8-f35a20f0720c","exit","Q4","3","2024-04-15 06:46:49.443+00"
"2185","fec047b6-9c06-438f-90f8-f35a20f0720c","exit","Q5","4","2024-04-15 06:46:49.443+00"
"2186","fec047b6-9c06-438f-90f8-f35a20f0720c","exit","Q6","2","2024-04-15 06:46:49.443+00"
"2187","fec047b6-9c06-438f-90f8-f35a20f0720c","exit","Q7","3","2024-04-15 06:46:49.443+00"
"2188","fec047b6-9c06-438f-90f8-f35a20f0720c","exit","Q8","3","2024-04-15 06:46:49.443+00"
"2189","fec047b6-9c06-438f-90f8-f35a20f0720c","exit","Q9","3","2024-04-15 06:46:49.443+00"
"2190","fec047b6-9c06-438f-90f8-f35a20f0720c","exit","Q10","4","2024-04-15 06:46:49.443+00"
"2191","fec047b6-9c06-438f-90f8-f35a20f0720c","exit","Q11","3","2024-04-15 06:46:49.443+00"
"2192","fec047b6-9c06-438f-90f8-f35a20f0720c","exit","Q12","4","2024-04-15 06:46:49.443+00"
"2193","fec047b6-9c06-438f-90f8-f35a20f0720c","exit","Q13","4","2024-04-15 06:46:49.443+00"
"2194","fec047b6-9c06-438f-90f8-f35a20f0720c","exit","Q14","4","2024-04-15 06:46:49.443+00"
"2195","fec047b6-9c06-438f-90f8-f35a20f0720c","exit","Q15","4","2024-04-15 06:46:49.443+00"
"2196","fec047b6-9c06-438f-90f8-f35a20f0720c","exit","Q16","4","2024-04-15 06:46:49.443+00"
"2197","fec047b6-9c06-438f-90f8-f35a20f0720c","exit","Q17","4","2024-04-15 06:46:49.443+00"
"2198","fec047b6-9c06-438f-90f8-f35a20f0720c","exit","Q18","4","2024-04-15 06:46:49.443+00"
"2199","fec047b6-9c06-438f-90f8-f35a20f0720c","exit","Q19","4","2024-04-15 06:46:49.443+00"
"2200","fec047b6-9c06-438f-90f8-f35a20f0720c","exit","Q20","4","2024-04-15 06:46:49.443+00"
"2201","fec047b6-9c06-438f-90f8-f35a20f0720c","exit","A1","1","2024-04-15 06:46:49.443+00"
"2202","3510fa20-eed9-4be4-bef6-4262aa417bcd","exit","Q1","3","2024-04-16 22:17:36.889+00"
"2203","3510fa20-eed9-4be4-bef6-4262aa417bcd","exit","Q2","3","2024-04-16 22:17:36.89+00"
"2204","3510fa20-eed9-4be4-bef6-4262aa417bcd","exit","Q3","4","2024-04-16 22:17:36.89+00"
"2205","3510fa20-eed9-4be4-bef6-4262aa417bcd","exit","Q4","2","2024-04-16 22:17:36.89+00"
"2206","3510fa20-eed9-4be4-bef6-4262aa417bcd","exit","Q5","3","2024-04-16 22:17:36.89+00"
"2207","3510fa20-eed9-4be4-bef6-4262aa417bcd","exit","Q6","2","2024-04-16 22:17:36.89+00"
"2208","3510fa20-eed9-4be4-bef6-4262aa417bcd","exit","Q7","3","2024-04-16 22:17:36.89+00"
"2209","3510fa20-eed9-4be4-bef6-4262aa417bcd","exit","Q8","3","2024-04-16 22:17:36.89+00"
"2210","3510fa20-eed9-4be4-bef6-4262aa417bcd","exit","Q9","3","2024-04-16 22:17:36.89+00"
"2211","3510fa20-eed9-4be4-bef6-4262aa417bcd","exit","Q10","1","2024-04-16 22:17:36.89+00"
"2212","3510fa20-eed9-4be4-bef6-4262aa417bcd","exit","Q11","4","2024-04-16 22:17:36.89+00"
"2213","3510fa20-eed9-4be4-bef6-4262aa417bcd","exit","Q12","3","2024-04-16 22:17:36.89+00"
"2214","3510fa20-eed9-4be4-bef6-4262aa417bcd","exit","Q13","5","2024-04-16 22:17:36.89+00"
"2215","3510fa20-eed9-4be4-bef6-4262aa417bcd","exit","Q14","4","2024-04-16 22:17:36.89+00"
"2216","3510fa20-eed9-4be4-bef6-4262aa417bcd","exit","Q15","5","2024-04-16 22:17:36.89+00"
"2217","3510fa20-eed9-4be4-bef6-4262aa417bcd","exit","Q16","4","2024-04-16 22:17:36.89+00"
"2218","3510fa20-eed9-4be4-bef6-4262aa417bcd","exit","Q17","6","2024-04-16 22:17:36.89+00"
"2219","3510fa20-eed9-4be4-bef6-4262aa417bcd","exit","Q18","5","2024-04-16 22:17:36.89+00"
"2220","3510fa20-eed9-4be4-bef6-4262aa417bcd","exit","Q19","6","2024-04-16 22:17:36.89+00"
"2221","3510fa20-eed9-4be4-bef6-4262aa417bcd","exit","Q20","6","2024-04-16 22:17:36.89+00"
"2222","3510fa20-eed9-4be4-bef6-4262aa417bcd","exit","A1","1","2024-04-16 22:17:36.89+00"
"2223","cf5b677d-87b9-458d-bb52-7bff80df8483","exit","Q1","3","2024-04-22 16:20:15.479+00"
"2224","cf5b677d-87b9-458d-bb52-7bff80df8483","exit","Q2","4","2024-04-22 16:20:15.479+00"
"2225","cf5b677d-87b9-458d-bb52-7bff80df8483","exit","Q3","4","2024-04-22 16:20:15.479+00"
"2226","cf5b677d-87b9-458d-bb52-7bff80df8483","exit","Q4","4","2024-04-22 16:20:15.479+00"
"2227","cf5b677d-87b9-458d-bb52-7bff80df8483","exit","Q5","2","2024-04-22 16:20:15.479+00"
"2228","cf5b677d-87b9-458d-bb52-7bff80df8483","exit","Q6","2","2024-04-22 16:20:15.479+00"
"2229","cf5b677d-87b9-458d-bb52-7bff80df8483","exit","Q7","1","2024-04-22 16:20:15.479+00"
"2230","cf5b677d-87b9-458d-bb52-7bff80df8483","exit","Q8","1","2024-04-22 16:20:15.479+00"
"2231","cf5b677d-87b9-458d-bb52-7bff80df8483","exit","Q9","1","2024-04-22 16:20:15.479+00"
"2232","cf5b677d-87b9-458d-bb52-7bff80df8483","exit","Q10","1","2024-04-22 16:20:15.479+00"
"2233","cf5b677d-87b9-458d-bb52-7bff80df8483","exit","Q11","2","2024-04-22 16:20:15.479+00"
"2234","cf5b677d-87b9-458d-bb52-7bff80df8483","exit","Q12","3","2024-04-22 16:20:15.479+00"
"2235","cf5b677d-87b9-458d-bb52-7bff80df8483","exit","Q13","3","2024-04-22 16:20:15.479+00"
"2236","cf5b677d-87b9-458d-bb52-7bff80df8483","exit","Q14","4","2024-04-22 16:20:15.479+00"
"2237","cf5b677d-87b9-458d-bb52-7bff80df8483","exit","Q15","5","2024-04-22 16:20:15.479+00"
"2238","cf5b677d-87b9-458d-bb52-7bff80df8483","exit","Q16","4","2024-04-22 16:20:15.479+00"
"2239","cf5b677d-87b9-458d-bb52-7bff80df8483","exit","Q17","5","2024-04-22 16:20:15.479+00"
"2240","cf5b677d-87b9-458d-bb52-7bff80df8483","exit","Q18","5","2024-04-22 16:20:15.479+00"
"2241","cf5b677d-87b9-458d-bb52-7bff80df8483","exit","Q19","5","2024-04-22 16:20:15.479+00"
"2242","cf5b677d-87b9-458d-bb52-7bff80df8483","exit","Q20","6","2024-04-22 16:20:15.479+00"
"2243","cf5b677d-87b9-458d-bb52-7bff80df8483","exit","A1","0","2024-04-22 16:20:15.479+00"
"2244","0b0684a9-b502-49dd-8835-c2f625903776","exit","Q1","4","2024-04-26 12:49:21.019+00"
"2245","0b0684a9-b502-49dd-8835-c2f625903776","exit","Q2","2","2024-04-26 12:49:21.019+00"
"2246","0b0684a9-b502-49dd-8835-c2f625903776","exit","Q3","4","2024-04-26 12:49:21.019+00"
"2247","0b0684a9-b502-49dd-8835-c2f625903776","exit","Q4","2","2024-04-26 12:49:21.019+00"
"2248","0b0684a9-b502-49dd-8835-c2f625903776","exit","Q5","4","2024-04-26 12:49:21.019+00"
"2249","0b0684a9-b502-49dd-8835-c2f625903776","exit","Q6","4","2024-04-26 12:49:21.019+00"
"2250","0b0684a9-b502-49dd-8835-c2f625903776","exit","Q7","4","2024-04-26 12:49:21.019+00"
"2251","0b0684a9-b502-49dd-8835-c2f625903776","exit","Q8","3","2024-04-26 12:49:21.019+00"
"2252","0b0684a9-b502-49dd-8835-c2f625903776","exit","Q9","3","2024-04-26 12:49:21.019+00"
"2253","0b0684a9-b502-49dd-8835-c2f625903776","exit","Q10","1","2024-04-26 12:49:21.019+00"
"2254","0b0684a9-b502-49dd-8835-c2f625903776","exit","Q11","2","2024-04-26 12:49:21.019+00"
"2255","0b0684a9-b502-49dd-8835-c2f625903776","exit","Q12","3","2024-04-26 12:49:21.019+00"
"2256","0b0684a9-b502-49dd-8835-c2f625903776","exit","Q13","3","2024-04-26 12:49:21.019+00"
"2257","0b0684a9-b502-49dd-8835-c2f625903776","exit","Q14","4","2024-04-26 12:49:21.019+00"
